epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1
1,1.7062194934789685,0.2691511387163561,0.23931665267212252,1.6461709290742874,0.23958333333333334,0.11548901147009893
2,1.5977985014826614,0.35403726708074534,0.3383693951480938,1.6532557209332783,0.3541666666666667,0.21701053084031807
3,1.522484967180414,0.42028985507246375,0.40380468950978105,1.5945019324620564,0.4895833333333333,0.3710064445358563
4,1.4001752693460594,0.4575569358178054,0.43978022149848783,1.598733867208163,0.3333333333333333,0.23355350188682747
5,1.2475252642641403,0.5010351966873706,0.48589874171434516,1.7706120982766151,0.25,0.1812570145903479
6,1.159553471065703,0.5734989648033126,0.566604106677636,1.7200055706004302,0.2916666666666667,0.2419536984754376
7,0.9340719921248299,0.6252587991718427,0.6170132394342015,1.6526969571908314,0.3333333333333333,0.26892484134437517
8,0.8422286189614369,0.6915113871635611,0.6875715374915412,1.8734636877973874,0.3854166666666667,0.3437357984574263
9,0.8560786458276073,0.6894409937888198,0.6862346088375394,1.6346372465292613,0.40625,0.4110903620707542
10,0.7703945325768512,0.7163561076604554,0.712633005306841,2.1078233076259494,0.3541666666666667,0.3533477186727961
11,0.6763138033711885,0.7619047619047619,0.76041094279559,1.9881906223793824,0.4791666666666667,0.40837732517461917
