threshold,noise_threshold,contains_true_rate,sample_precision,sample_recall,sample_f1,micro_precision,micro_recall,micro_f1,macro_accuracy,macro_f1,priority_primary_accuracy,average_predicted_labels
0.3,0.5,0.9986842105263158,0.0764891136001316,0.9986842105263158,0.14172861101837125,0.0738542376179819,0.9986842105263158,0.13753737428649093,0.34078947368421053,0.14505790100058624,0.08421052631578947,13.522368421052631
0.4,0.5,0.9973684210526316,0.0941021150976655,0.9973684210526316,0.17118689433654147,0.08940787921679641,0.9973684210526316,0.1641047845854081,0.4652354570637119,0.17797785461592686,0.12105263157894737,11.155263157894737
0.5,0.5,0.9881578947368421,0.11867848504264959,0.9881578947368421,0.20969745381897206,0.10907770515613653,0.9881578947368421,0.19646827992151736,0.5745844875346261,0.21583128682209674,0.14210526315789473,9.05921052631579
0.6,0.5,0.9815789473684211,0.15287170797039265,0.9815789473684211,0.2599259987088941,0.1361810879883169,0.9815789473684211,0.23917922411029177,0.6713296398891967,0.2680968879830322,0.16973684210526316,7.207894736842105
0.7,0.5,0.968421052631579,0.19636422057474676,0.968421052631579,0.318598514059041,0.16997690531177828,0.968421052631579,0.28919449901768174,0.7494459833795012,0.3364788036820083,0.22105263157894736,5.697368421052632
0.8,0.5,0.9421052631578948,0.2537725943646992,0.9421052631578948,0.3874968671679197,0.214950465325728,0.9421052631578948,0.35003666585187,0.815858725761773,0.41299052319163465,0.3144736842105263,4.382894736842105
0.85,0.5,0.9197368421052632,0.29506840016708413,0.9197368421052632,0.42911663628768815,0.24743362831858406,0.9197368421052632,0.3899581589958159,0.8485457063711911,0.45235348029771005,0.35526315789473684,3.7171052631578947
0.9,0.5,0.875,0.35951911027568884,0.875,0.480148287385129,0.289760348583878,0.875,0.43535188216039283,0.8805401662049861,0.49807061466951635,0.4328947368421053,3.0197368421052633
0.95,0.5,0.8118421052631579,0.42846491228070116,0.8118421052631579,0.529906015037595,0.3570601851851852,0.8118421052631579,0.4959807073954984,0.913157894736842,0.5465037193894247,0.5210526315789473,2.2736842105263158
