epoch,global_step,train_running_loss,val_loss,val_softmax_accuracy,val_softmax_macro_f1,val_contains_true_rate,val_priority_primary_accuracy,val_candidate_macro_accuracy,val_candidate_macro_f1,val_avg_predicted_labels
1,80000,0.8584004040035652,0.8536757377373348,0.7905263157894736,0.7859924430467402,0.8331578947368421,0.7352631578947368,0.9611357340720221,0.7017339120614968,1.404736842105263
1,88000,0.8587261250191077,0.8507655224297196,0.7905263157894736,0.7860251431690622,0.8342105263157895,0.7373684210526316,0.9612188365650972,0.7025323283803683,1.4052631578947368
1,96000,0.8558917681763075,0.8483536802197954,0.7910526315789473,0.7862899734818052,0.8342105263157895,0.7373684210526316,0.9610803324099723,0.7019206377097528,1.4078947368421053
1,104000,0.853686243284279,0.8466836762379266,0.791578947368421,0.7868097289324133,0.8347368421052631,0.7357894736842105,0.9611357340720224,0.7023930137310866,1.4078947368421053
1,112000,0.8489615690870356,0.8446807242925034,0.7910526315789473,0.7865267218048464,0.8347368421052631,0.7342105263157894,0.9610803324099723,0.7020042732722128,1.4089473684210527
1,120000,0.8475946518722655,0.8431014954734986,0.791578947368421,0.7870289087183948,0.8347368421052631,0.7331578947368421,0.9611080332409973,0.7021032842874559,1.408421052631579
1,128000,0.8476472713653223,0.8405061675108185,0.791578947368421,0.7871008028050174,0.8352631578947368,0.7336842105263158,0.9610526315789473,0.7020815188063638,1.4105263157894736
1,136000,0.8440008654751473,0.8382196049490257,0.791578947368421,0.7871149715432221,0.8363157894736842,0.7336842105263158,0.961191135734072,0.7029040952377453,1.41
1,144000,0.8475296265156584,0.8352622477563196,0.7921052631578948,0.7876007139040273,0.8363157894736842,0.7326315789473684,0.9611080332409973,0.7023188096921745,1.411578947368421
1,152000,0.8479104757857189,0.8328888188498584,0.7921052631578948,0.7876007139040273,0.8363157894736842,0.7326315789473684,0.9610526315789475,0.7021526940351194,1.4126315789473685
1,160000,0.8487040804685967,0.8312061930452719,0.7921052631578948,0.7876007139040273,0.8363157894736842,0.7315789473684211,0.9610803324099723,0.7022428103420514,1.4121052631578948
1,168000,0.8471684151851684,0.8286377233306044,0.7926315789473685,0.7881489158274554,0.8357894736842105,0.7305263157894737,0.9608864265927978,0.7010148336034111,1.414736842105263
1,176000,0.8438576659206184,0.8276832825254257,0.7931578947368421,0.7887600780500355,0.8373684210526315,0.7315789473684211,0.9610803324099723,0.7027750501976691,1.4142105263157896
1,184000,0.8410408315690142,0.8254683190966515,0.7931578947368421,0.78856355186605,0.8363157894736842,0.7294736842105263,0.960803324099723,0.7006377492654469,1.4173684210526316
1,192000,0.8399773522867836,0.8233059966475947,0.7921052631578948,0.7875441838184195,0.8363157894736842,0.7289473684210527,0.9608587257617729,0.7006133038355337,1.4163157894736842
1,200000,0.8379038163266682,0.8210741539456342,0.7947368421052632,0.789980725955544,0.8389473684210527,0.7310526315789474,0.9609695290858727,0.7021045421034882,1.4194736842105262
