global_step,epoch,batch_idx,running_loss,val_loss,val_accuracy,val_macro_f1,val_21AvB_accuracy,val_21AvB_support,val_AF_accuracy,val_AF_support,val_AtCou_accuracy,val_AtCou_support,val_AtRun_accuracy,val_AtRun_support,val_ComHB_accuracy,val_ComHB_support,val_EctAR_accuracy,val_EctAR_support,val_EctAt_accuracy,val_EctAt_support,val_EctVe_accuracy,val_EctVe_support,val_Idiov_accuracy,val_Idiov_support,val_JuRhy_accuracy,val_JuRhy_support,val_Noise_accuracy,val_Noise_support,val_PaRhy_accuracy,val_PaRhy_support,val_Pause_accuracy,val_Pause_support,val_SArrh_accuracy,val_SArrh_support,val_SRhy_accuracy,val_SRhy_support,val_SVT_accuracy,val_SVT_support,val_VT_accuracy,val_VT_support,val_VeCou_accuracy,val_VeCou_support,val_Wenck_accuracy,val_Wenck_support
4000,1,4000,1.3506975228115916,9.735801391601562,0.053984375,0.005391508569065537,0.0,691,0.0,691,0.0,691,0.0,691,0.0,691,0.0,691,0.0,691,0.0,691,0.0,368,0.0,691,1.0,691,0.0,691,0.0,691,0.0,690,0.0,690,0.0,690,0.0,690,0.0,690,0.0,690
8000,1,8000,1.274655476736836,2.787415996789932,0.261953125,0.21661396272653607,0.010130246020260492,691,0.6975397973950795,691,0.0824891461649783,691,0.19681620839363242,691,0.17945007235890015,691,0.4515195369030391,691,0.19536903039073805,691,0.03183791606367583,691,0.0,368,0.4109985528219971,691,0.894356005788712,691,0.2706222865412446,691,0.16063675832127353,691,0.002898550724637681,690,0.07391304347826087,690,0.6666666666666666,690,0.008695652173913044,690,0.3681159420289855,690,0.15217391304347827,690
12000,1,12000,1.2318556696878125,1.0552872240543365,0.6753125,0.6565699400557272,0.7091172214182344,691,0.8842257597684515,691,0.39652677279305354,691,0.4905933429811867,691,0.9638205499276411,691,0.7091172214182344,691,0.2937771345875543,691,0.4833574529667149,691,0.09239130434782608,368,0.8422575976845152,691,0.8393632416787264,691,0.9811866859623734,691,0.7395079594790159,691,0.8289855072463768,690,0.3507246376811594,690,0.8376811594202899,690,0.7231884057971014,690,0.6072463768115942,690,0.7855072463768116,690
16000,1,16000,1.1981819478101097,0.9904935270547867,0.69578125,0.6727319579812029,0.7308248914616498,691,0.8798842257597684,691,0.4283646888567294,691,0.36034732272069464,691,0.914616497829233,691,0.7105643994211288,691,0.47901591895803186,691,0.467438494934877,691,0.12228260869565218,368,0.869753979739508,691,0.808972503617945,691,0.9869753979739508,691,0.8176555716353111,691,0.9130434782608695,690,0.3710144927536232,690,0.8724637681159421,690,0.7884057971014493,690,0.5753623188405798,690,0.855072463768116,690
