global_step,epoch,batch_idx,running_loss,val_loss,val_accuracy,val_macro_f1,val_NSR_accuracy,val_NSR_support,val_AFIB_accuracy,val_AFIB_support,val_SBR_accuracy,val_SBR_support,val_AB_accuracy,val_AB_support,val_SVTA_accuracy,val_SVTA_support,val_B_accuracy,val_B_support
2,1,2,1.7927312850952148,1.79337281982104,0.16666666666666666,0.047619047619047616,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
4,1,4,1.7943828105926514,1.7932164172331493,0.16666666666666666,0.047619047619047616,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
6,1,6,1.8239145080248516,1.7929632465044658,0.16666666666666666,0.047619047619047616,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
8,1,8,1.875312939286232,1.7925394078095753,0.16666666666666666,0.047619047619047616,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
10,1,10,1.887457823753357,1.791915367046992,0.16666666666666666,0.047619047619047616,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
12,1,12,1.8889236748218536,1.7930111090342205,0.16666666666666666,0.048484848484848485,0.0,8,0.0,8,0.0,8,0.0,8,0.0,8,1.0,8
